                                         Listado de relaciones
      Esquema       |              Nombre               |    Tipo     |             Dueño              
--------------------+-----------------------------------+-------------+--------------------------------
 compra             | articulos_gampack_no_relacionados | tabla       | dbcalculadoragampack_se1t_user
 compra             | articulos_no_relacionados         | tabla       | dbcalculadoragampack_se1t_user
 compra             | column_mappings                   | tabla       | dbcalculadoragampack_se1t_user
 compra             | familias                          | tabla       | dbcalculadoragampack_se1t_user
 compra             | imports_log                       | tabla       | dbcalculadoragampack_se1t_user
 compra             | lista_interna                     | tabla       | dbcalculadoragampack_se1t_user
 compra             | lista_precios                     | tabla       | dbcalculadoragampack_se1t_user
 compra             | producto_externo_rubro            | tabla       | dbcalculadoragampack_se1t_user
 compra             | producto_rubro                    | tabla       | dbcalculadoragampack_se1t_user
 compra             | productos_gampack                 | tabla       | dbcalculadoragampack_se1t_user
 compra             | relacion_articulos                | tabla       | dbcalculadoragampack_se1t_user
 compra             | rubros                            | tabla       | dbcalculadoragampack_se1t_user
 compra             | subfamilias                       | tabla       | dbcalculadoragampack_se1t_user
 information_schema | sql_features                      | tabla       | postgres
 information_schema | sql_implementation_info           | tabla       | postgres
 information_schema | sql_parts                         | tabla       | postgres
 information_schema | sql_sizing                        | tabla       | postgres
 pg_catalog         | pg_aggregate                      | tabla       | postgres
 pg_catalog         | pg_am                             | tabla       | postgres
 pg_catalog         | pg_amop                           | tabla       | postgres
 pg_catalog         | pg_amproc                         | tabla       | postgres
 pg_catalog         | pg_attrdef                        | tabla       | postgres
 pg_catalog         | pg_attribute                      | tabla       | postgres
 pg_catalog         | pg_auth_members                   | tabla       | postgres
 pg_catalog         | pg_authid                         | tabla       | postgres
 pg_catalog         | pg_cast                           | tabla       | postgres
 pg_catalog         | pg_class                          | tabla       | postgres
 pg_catalog         | pg_collation                      | tabla       | postgres
 pg_catalog         | pg_constraint                     | tabla       | postgres
 pg_catalog         | pg_conversion                     | tabla       | postgres
 pg_catalog         | pg_database                       | tabla       | postgres
 pg_catalog         | pg_db_role_setting                | tabla       | postgres
 pg_catalog         | pg_default_acl                    | tabla       | postgres
 pg_catalog         | pg_depend                         | tabla       | postgres
 pg_catalog         | pg_description                    | tabla       | postgres
 pg_catalog         | pg_enum                           | tabla       | postgres
 pg_catalog         | pg_event_trigger                  | tabla       | postgres
 pg_catalog         | pg_extension                      | tabla       | postgres
 pg_catalog         | pg_foreign_data_wrapper           | tabla       | postgres
 pg_catalog         | pg_foreign_server                 | tabla       | postgres
 pg_catalog         | pg_foreign_table                  | tabla       | postgres
 pg_catalog         | pg_index                          | tabla       | postgres
 pg_catalog         | pg_inherits                       | tabla       | postgres
 pg_catalog         | pg_init_privs                     | tabla       | postgres
 pg_catalog         | pg_language                       | tabla       | postgres
 pg_catalog         | pg_largeobject                    | tabla       | postgres
 pg_catalog         | pg_largeobject_metadata           | tabla       | postgres
 pg_catalog         | pg_namespace                      | tabla       | postgres
 pg_catalog         | pg_opclass                        | tabla       | postgres
 pg_catalog         | pg_operator                       | tabla       | postgres
 pg_catalog         | pg_opfamily                       | tabla       | postgres
 pg_catalog         | pg_parameter_acl                  | tabla       | postgres
 pg_catalog         | pg_partitioned_table              | tabla       | postgres
 pg_catalog         | pg_policy                         | tabla       | postgres
 pg_catalog         | pg_proc                           | tabla       | postgres
 pg_catalog         | pg_publication                    | tabla       | postgres
 pg_catalog         | pg_publication_namespace          | tabla       | postgres
